username,userid,created,text,retweets,followers,friends,polarity,subjectivity
ds,polarity,subjectivity
JioSaavn,14263778,,2019-07-22 06:29:17,"#BornOnThisDay - The Prince of #Bollywood music!  Celebrating @ArmaanMalik22's birthday with all his biggest hits,... https://t.co/Otc1Lv7yPF",121,596,293454,329,0.0,0.0
Soompi,17659206,Worldwide,2019-07-21 15:12:38,"WATCH: #EXO_SC Are Living The High Life In Their Debut Music Video ""What A Life""
https://t.co/gTOe3bDWNe https://t.co/pBB86IARfC",6082,10250,2390615,3716,0.16,0.5399999999999999
NCT DREAM,870188817537355776,,2019-07-17 00:00:00,"NCT DREAM [[ #BOOM ]] 

#WE_BOOM

MV Release  2019 07 26 0AM (KST)
Music Release  2019 07 26 6PM (KST)
Album Release... https://t.co/4wK1w8X1RG",76136,121824,1458147,4,0.0,0.0
NCT DREAM,870188817537355776,,2019-07-19 15:00:01,"NCT DREAM [[ #BOOM ]] 

MV Release  2019 07 26 0AM (KST)
Music Release  2019 07 26 6PM (KST)
Album Release  2019 07... https://t.co/yDbwIvbrEF",50074,85031,1458147,4,0.0,0.0
Sterling,54403121,"Connecticut, USA",2019-07-21 22:21:12,"Ya know what's cool? Whatever YOU think is cool. Music, entertainment, politics, religion, fitness...WHATEVER makes... https://t.co/B7KJR0jkNj",1249,5783,474536,410,0.35,0.65
NCT DREAM,870188817537355776,,2019-07-15 09:11:42,"#NCTDREAM [[ #Fireflies ]]  
Music Release  2019.07.15.6PM (KST)

Melon  https://t.co/bbhJTvc5gw
Genie ... https://t.co/FxLtHKxuOF",27682,57143,1458147,4,0.0,0.0
NCT DREAM,870188817537355776,,2019-07-21 10:01:32,"[[ JISUNG ]] 

NCT DREAM [[ #BOOM ]] 
MV Release  2019 07 26 0AM (KST)
Music Release  2019 07 26 6PM (KST)
Album Releas... https://t.co/WAOZZKvdi9",29188,60836,1458147,4,0.0,0.0
NCT DREAM,870188817537355776,,2019-07-15 09:00:00,"#NCTDREAM [[ #Fireflies ]]  
Music Release  2019.07.15.6PM (KST)

#NCT #worldscoutfoundation #wsj #wsf https://t.co/Zt68EqJAJB",38207,72071,1457936,4,0.0,0.0
Koreaboo,96877126,Worldwide,2019-07-23 11:30:00,"Top Choreographer Lia Kim Had Nothing But Praise For GOT7 BamBam's Dance Skills

https://t.co/uvNAmuMj15",4597,8406,1426749,513,0.5,0.5
lewys,2193128535,SE LONDON,2019-07-22 21:00:33,NOOOOO Jordan has not just asked Anna to be his girlfriend with a high school musical dance routine to ditch her 5... https://t.co/cc5UDOyIaF,2251,30223,140332,625,0.08,0.26999999999999996
DUA LIPA,154101116,LONDON,2019-07-23 22:33:56,[?] Thank you for our VMA nom for best dance [?] cc @MarkRonson @diplo https://t.co/05fXWmPPxk,1773,23153,3332829,1261,1.0,0.3
Official Selenators,3286004797,IG: SelenaFanClub,2019-07-23 16:51:24,"Voting for the @vmas is OPEN and you can vote up to ten times per category for Selena: 

 BEST LATIN: I Can't Get... https://t.co/TvJ9Bry7bw",1047,3068,244356,136,0.3333333333333333,0.26666666666666666
BollywoodParksDubai,2868464304,Dubai,2019-07-23 10:38:14,He's a legacy of the Tamil film industry who's given us some of the most iconic dance moves we've seen. Happy birth... https://t.co/yEU01PcDe1,433,414,31510,81,0.6,0.6666666666666666
allkpop,21366823,Worldwide,2019-07-22 22:38:38,IZ*ONE's Chaeyeon shows off her killer dance moves to Ariana Grande's 'Seven Rings' https://t.co/DiGuw99WwL https://t.co/pWzsiXRXcS,510,2077,5313997,567,0.0,0.0
Soompi,17659206,Worldwide,2019-07-23 14:29:37,"WATCH: #NCTDream Gives Preview Of ""Boom"" + Wows With Dance Covers Of Songs By #TVXQ, #EXO, And #NCT_U... https://t.co/aTSiXTuLUX",410,1533,2390433,3716,0.0,0.0
billboard,9695312,Worldwide!,2019-07-22 18:00:11,"The best @selenagomez songs (critic's picks) https://t.co/PfiLjrGt0K

#HappyBirthdaySelenaGomez https://t.co/L1WwECAJcF",560,2653,7534162,3164,1.0,0.3
